frequency_mhz,level_dbm,efficiency,buffer_voltage_mv,resistance,pwr_pw
868,-13.965,-0.023,1200.0,0,-9396.0
868,-11.558,0.342,1200.0,0,239064.0
868,-11.027,0.699,1200.0,0,551514.0
868,-9.965,9.43,1200.0,0,9507383.0
868,-9.009,22.76,1200.0,0,28595285.0
868,-8.018,35.029,1200.0,0,55292053.0
868,-7.027,43.761,1200.0,0,86781907.0
868,-6.0,49.426,1200.0,0,124152752.0
868,-4.973,52.497,1200.0,0,167028608.0
868,-3.982,53.092,1200.0,0,212224901.0
868,-3.027,52.743,1200.0,0,262728174.0
868,-2.0,51.333,1200.0,0,323886476.0
868,-0.938,50.63,1200.0,0,407947698.0
868,0.973,56.654,1200.0,0,708881887.0
868,1.965,59.253,1200.0,0,931473076.0
868,2.991,60.909,1200.0,0,1212819622.0
868,4.018,61.857,1200.0,0,1560132777.0
868,5.009,61.744,1200.0,0,1956510285.0
868,5.965,61.041,1200.0,0,2410378931.0
868,6.991,59.396,1200.0,0,2970771639.0
868,8.018,57.16,1200.0,0,3621284726.0
868,9.009,54.571,1200.0,0,4343538725.0
868,10.035,51.51,1200.0,0,5193116517.0
868,10.991,48.33,1200.0,0,6072044004.0
915,-13.894,0.213,1200.0,0,86809.0
915,-13.044,1.986,1200.0,0,985183.0
915,-11.982,8.123,1200.0,0,5146274.0
915,-11.027,21.453,1200.0,0,16937099.0
915,-10.0,34.784,1200.0,0,34783805.0
915,-9.009,43.869,1200.0,0,55115205.0
915,-8.018,50.006,1200.0,0,78931535.0
915,-7.027,53.43,1200.0,0,105958132.0
915,-6.035,55.086,1200.0,0,137247301.0
915,-5.009,54.855,1200.0,0,173115205.0
915,-4.018,53.563,1200.0,0,212371677.0
915,-2.991,51.917,1200.0,0,260733631.0
915,-2.0,52.866,1200.0,0,333559172.0
915,-0.973,56.88,1200.0,0,454584675.0
915,-0.018,59.361,1200.0,0,591197287.0
915,0.973,61.253,1200.0,0,766427720.0
915,2.0,62.319,1200.0,0,987692479.0
915,2.991,62.678,1200.0,0,1248041333.0
915,3.982,62.211,1200.0,0,1556314116.0
915,4.973,60.919,1200.0,0,1914677998.0
915,6.0,59.155,1200.0,0,2354997960.0
915,6.991,56.919,1200.0,0,2846909525.0
915,8.018,54.212,1200.0,0,3434511738.0
915,9.009,51.387,1200.0,0,4090111733.0
915,10.035,48.09,1200.0,0,4848336594.0
915,11.027,44.911,1200.0,0,5688591310.0
950,-13.929,-0.023,1200.0,0,-9403.0
950,-12.973,0.099,1200.0,0,50115.0
950,-12.018,3.288,1200.0,0,2066177.0
950,-11.027,13.199,1200.0,0,10420105.0
950,-10.0,26.765,1200.0,0,26764937.0
950,-9.009,36.675,1200.0,0,46077690.0
950,-8.018,43.284,1200.0,0,68321689.0
950,-6.991,47.652,1200.0,0,95272902.0
950,-6.0,49.662,1200.0,0,124745178.0
950,-5.009,50.021,1200.0,0,157857014.0
950,-4.018,50.497,1200.0,0,200215204.0
950,-3.027,53.332,1200.0,0,265665278.0
950,-2.0,56.875,1200.0,0,358856990.0
950,-1.009,59.474,1200.0,0,471458775.0
950,0.018,60.776,1200.0,0,610246154.0
950,1.009,61.371,1200.0,0,774190008.0
950,2.991,61.381,1200.0,0,1222212078.0
950,3.982,60.796,1200.0,0,1520913120.0
950,4.973,59.386,1200.0,0,1866495131.0
950,6.0,57.504,1200.0,0,2289272719.0
950,6.991,55.15,1200.0,0,2758436587.0
950,9.009,49.618,1200.0,0,3949318960.0
950,10.0,47.028,1200.0,0,4702830189.0
950,11.027,43.967,1200.0,0,5569096511.0
