frequency_mhz,level_dbm,efficiency,buffer_voltage_mv,resistance,pwr_pw
850.0,-20.0,0.0,11.0,959538.0,126.0
850.0,-19.5,0.0,16.0,959538.0,266.0
850.0,-19.0,0.0,22.0,959538.0,504.0
850.0,-18.5,0.01,30.0,959538.0,937.0
850.0,-18.0,0.01,40.0,959538.0,1667.0
850.0,-17.5,0.02,53.0,959538.0,2927.0
850.0,-17.0,0.02,68.0,959538.0,4818.0
850.0,-16.5,0.03,86.0,959538.0,7707.0
850.0,-16.0,0.05,107.0,959538.0,11931.0
850.0,-15.5,0.06,128.0,959538.0,17074.0
850.0,-15.0,0.08,155.0,959538.0,25038.0
850.0,-14.5,0.1,183.0,959538.0,34901.0
850.0,-14.0,0.12,216.0,959538.0,48623.0
850.0,-13.5,0.15,251.0,959538.0,65657.0
850.0,-13.0,0.17,289.0,959538.0,87042.0
850.0,-12.5,0.2,331.0,959538.0,114180.0
850.0,-12.0,0.23,376.0,959538.0,147337.0
850.0,-11.5,0.26,421.0,959538.0,184714.0
850.0,-11.0,0.29,472.0,959538.0,232178.0
850.0,-10.5,0.33,528.0,959538.0,290539.0
850.0,-10.0,0.36,587.0,959538.0,359098.0
850.0,-9.5,0.39,650.0,959538.0,440316.0
850.0,-9.0,0.42,716.0,959538.0,534273.0
850.0,-8.5,0.45,781.0,959538.0,635681.0
850.0,-8.0,4.94,796.0,80970.0,7825318.0
850.0,-7.5,10.44,791.0,33716.0,18557391.0
850.0,-7.0,15.32,780.0,19908.0,30560578.0
850.0,-6.5,18.95,774.0,14123.0,42418466.0
850.0,-6.0,21.74,769.0,10828.0,54614056.0
850.0,-5.5,23.45,795.0,9562.0,66097573.0
850.0,-5.0,25.49,790.0,7743.0,80601833.0
850.0,-4.5,26.95,787.0,6477.0,95625907.0
850.0,-4.0,28.22,787.0,5514.0,112326623.0
850.0,-3.5,28.94,784.0,4754.0,129292385.0
850.0,-3.0,29.36,782.0,4156.0,147142444.0
850.0,-2.5,29.53,780.0,3664.0,166048034.0
850.0,-2.0,29.57,780.0,3261.0,186568537.0
850.0,-1.5,29.6,782.0,2918.0,209569568.0
850.0,-1.0,29.95,779.0,2551.0,237883575.0
850.0,-0.5,31.29,784.0,2204.0,278882032.0
850.0,0.0,33.37,780.0,1823.0,333735600.0
850.0,0.5,37.46,782.0,1455.0,420291408.0
850.0,1.0,39.44,778.0,1219.0,496541427.0
850.0,1.5,40.87,773.0,1035.0,577322705.0
850.0,2.0,41.57,767.0,893.0,658778275.0
850.0,2.5,42.14,765.0,781.0,749327784.0
850.0,3.0,42.91,778.0,707.0,856130127.0
850.0,3.5,42.66,767.0,616.0,955014610.0
850.0,4.0,42.09,757.0,542.0,1057285977.0
850.0,4.5,41.37,795.0,542.0,1166097785.0
850.0,5.0,40.17,771.0,468.0,1270173076.0
850.0,5.5,40.3,785.0,431.0,1429756380.0
850.0,6.0,37.39,729.0,357.0,1488630252.0
850.0,6.5,39.04,789.0,357.0,1743756302.0
850.0,7.0,37.76,777.0,319.0,1892567398.0
