frequency_mhz,level_dbm,efficiency,buffer_voltage_mv,resistance,pwr_pw
850.0,-20.0,0.0,12.0,959538.0,150.0
850.0,-19.5,0.0,16.0,959538.0,266.0
850.0,-19.0,0.0,23.0,959538.0,551.0
850.0,-18.5,0.01,31.0,959538.0,1001.0
850.0,-18.0,0.01,42.0,959538.0,1838.0
850.0,-17.5,0.02,54.0,959538.0,3038.0
850.0,-17.0,0.02,69.0,959538.0,4961.0
850.0,-16.5,0.04,88.0,959538.0,8070.0
850.0,-16.0,0.05,108.0,959538.0,12155.0
850.0,-15.5,0.06,130.0,959538.0,17612.0
850.0,-15.0,0.08,157.0,959538.0,25688.0
850.0,-14.5,0.1,185.0,959538.0,35668.0
850.0,-14.0,0.12,218.0,959538.0,49528.0
850.0,-13.5,0.15,253.0,959538.0,66708.0
850.0,-13.0,0.18,291.0,959538.0,88251.0
850.0,-12.5,2.83,298.0,55816.0,1591013.0
850.0,-12.0,5.99,291.0,22413.0,3778209.0
850.0,-11.5,8.34,285.0,13759.0,5903408.0
850.0,-11.0,10.2,286.0,10094.0,8103427.0
850.0,-10.5,11.69,296.0,8410.0,10418073.0
850.0,-10.0,13.14,295.0,6623.0,13139815.0
850.0,-9.5,14.29,294.0,5391.0,16033388.0
850.0,-9.0,15.16,293.0,4499.0,19081795.0
850.0,-8.5,15.77,292.0,3827.0,22279592.0
850.0,-8.0,16.31,292.0,3298.0,25853244.0
850.0,-7.5,16.64,292.0,2881.0,29595279.0
850.0,-7.0,16.87,293.0,2551.0,33653077.0
850.0,-6.5,16.87,291.0,2242.0,37770294.0
850.0,-6.0,16.91,293.0,2021.0,42478476.0
850.0,-5.5,16.7,290.0,1787.0,47062115.0
850.0,-5.0,16.37,288.0,1602.0,51775280.0
850.0,-4.5,16.18,289.0,1455.0,57402749.0
850.0,-4.0,16.15,290.0,1308.0,64296636.0
850.0,-3.5,15.93,290.0,1182.0,71150592.0
850.0,-3.0,15.99,293.0,1071.0,80157796.0
850.0,-2.5,16.07,289.0,924.0,90390692.0
850.0,-2.0,16.73,294.0,819.0,105538461.0
850.0,-1.5,16.84,279.0,653.0,119205206.0
850.0,-1.0,18.03,288.0,579.0,143253886.0
850.0,-0.5,18.81,291.0,505.0,167685148.0
850.0,0.0,19.24,288.0,431.0,192445475.0
850.0,0.5,19.43,279.0,357.0,218042016.0
850.0,1.0,19.66,281.0,319.0,247526645.0
850.0,1.5,19.47,279.0,283.0,275056537.0
850.0,2.0,18.91,271.0,245.0,299759183.0
850.0,2.5,20.25,297.0,245.0,360036734.0
850.0,3.0,19.07,282.0,209.0,380497607.0
850.0,3.5,17.25,257.0,171.0,386251461.0
850.0,4.0,18.38,281.0,171.0,461760233.0
850.0,4.5,18.3,297.0,171.0,515842105.0
850.0,5.0,15.83,259.0,134.0,500604477.0
850.0,5.5,16.73,282.0,134.0,593462686.0
