frequency_mhz,level_dbm,efficiency,buffer_voltage_mv,resistance,pwr_pw
850.0,-25.0,0.6,135.0,959538.0,18993.0
850.0,-24.5,0.63,147.0,959538.0,22520.0
850.0,-24.0,0.66,159.0,959538.0,26347.0
850.0,-23.5,0.69,172.0,959538.0,30831.0
850.0,-23.0,0.72,186.0,959538.0,36054.0
850.0,-22.5,0.76,202.0,959538.0,42524.0
850.0,-22.0,0.77,216.0,959538.0,48623.0
850.0,-21.5,0.79,232.0,959538.0,56093.0
850.0,-21.0,0.82,250.0,959538.0,65135.0
850.0,-20.5,0.84,268.0,959538.0,74852.0
850.0,-20.0,0.86,287.0,959538.0,85842.0
850.0,-19.5,0.87,306.0,959538.0,97584.0
850.0,-19.0,0.89,327.0,959538.0,111438.0
850.0,-18.5,0.91,351.0,959538.0,128396.0
850.0,-18.0,0.92,375.0,959538.0,146554.0
850.0,-17.5,0.93,399.0,959538.0,165914.0
850.0,-17.0,0.95,426.0,959538.0,189128.0
850.0,-16.5,0.96,454.0,959538.0,214807.0
850.0,-16.0,0.97,483.0,959538.0,243126.0
850.0,-15.5,0.97,511.0,959538.0,272132.0
850.0,-15.0,0.98,544.0,959538.0,308415.0
850.0,-14.5,0.98,578.0,959538.0,348171.0
850.0,-14.0,0.99,614.0,959538.0,392893.0
850.0,-13.5,0.99,651.0,959538.0,441671.0
850.0,-13.0,1.0,692.0,959538.0,499056.0
850.0,-12.5,1.0,734.0,959538.0,561474.0
850.0,-12.0,1.0,780.0,959538.0,634055.0
850.0,-11.5,0.99,820.0,959538.0,700753.0
850.0,-11.0,0.99,870.0,959538.0,788817.0
850.0,-10.5,0.99,922.0,959538.0,885930.0
850.0,-10.0,0.99,976.0,959538.0,992744.0
850.0,-9.5,0.99,1034.0,959538.0,1114240.0
850.0,-9.0,0.99,1095.0,959538.0,1249585.0
850.0,-8.5,0.99,1160.0,959538.0,1402341.0
850.0,-8.0,0.98,1220.0,959538.0,1551163.0
850.0,-7.5,0.98,1290.0,959538.0,1734272.0
850.0,-7.0,0.97,1364.0,959538.0,1938949.0
850.0,-6.5,0.97,1443.0,959538.0,2170053.0
850.0,-6.0,0.97,1527.0,959538.0,2430053.0
850.0,-5.5,6.19,1544.0,136675.0,17442370.0
850.0,-5.0,13.4,1547.0,56477.0,42374931.0
850.0,-4.5,19.98,1546.0,33716.0,70889666.0
850.0,-4.0,23.75,1546.0,25280.0,94545727.0
850.0,-3.5,28.74,1540.0,18471.0,128395863.0
850.0,-3.0,32.62,1539.0,14486.0,163504141.0
850.0,-2.5,35.46,1542.0,11924.0,199409929.0
850.0,-2.0,38.09,1529.0,9728.0,240320826.0
850.0,-1.5,39.34,1545.0,8570.0,278532672.0
850.0,-1.0,40.38,1546.0,7452.0,320734836.0
850.0,-0.5,40.94,1546.0,6550.0,364903206.0
850.0,0.0,41.11,1545.0,5806.0,411130726.0
850.0,0.5,39.84,1547.0,5354.0,446994583.0
850.0,1.0,39.47,1543.0,4791.0,496941974.0
850.0,1.5,38.85,1539.0,4316.0,548776876.0
850.0,2.0,38.17,1543.0,3936.0,604890497.0
850.0,2.5,37.28,1543.0,3591.0,663004455.0
850.0,3.0,36.27,1545.0,3298.0,723779563.0
850.0,3.5,35.3,1547.0,3028.0,790359643.0
850.0,4.0,33.9,1536.0,2771.0,851424034.0
850.0,4.5,32.24,1544.0,2624.0,908512195.0
850.0,5.0,30.93,1540.0,2425.0,977979381.0
850.0,5.5,29.62,1535.0,2242.0,1050947814.0
850.0,6.0,28.51,1542.0,2095.0,1134970883.0
850.0,6.5,27.26,1540.0,1948.0,1217453798.0
850.0,7.0,26.16,1546.0,1823.0,1311089413.0
850.0,7.5,24.77,1528.0,1676.0,1393069212.0
850.0,8.0,23.69,1530.0,1566.0,1494827586.0
850.0,8.5,22.55,1524.0,1455.0,1596272164.0
850.0,9.0,21.72,1544.0,1382.0,1724989869.0
850.0,9.5,20.3,1507.0,1255.0,1809600796.0
850.0,10.0,19.99,1537.0,1182.0,1998620135.0
862.5,-25.0,0.76,152.0,959538.0,24078.0
862.5,-24.5,0.8,165.0,959538.0,28373.0
862.5,-24.0,0.83,178.0,959538.0,33020.0
862.5,-23.5,0.86,192.0,959538.0,38418.0
862.5,-23.0,0.89,207.0,959538.0,44655.0
862.5,-22.5,0.92,223.0,959538.0,51825.0
862.5,-22.0,0.95,240.0,959538.0,60028.0
862.5,-21.5,0.98,258.0,959538.0,69370.0
862.5,-21.0,1.01,277.0,959538.0,79964.0
862.5,-20.5,1.03,297.0,959538.0,91928.0
862.5,-20.0,1.06,319.0,959538.0,106052.0
862.5,-19.5,1.07,340.0,959538.0,120474.0
862.5,-19.0,1.09,363.0,959538.0,137325.0
862.5,-18.5,1.11,388.0,959538.0,156892.0
862.5,-18.0,1.13,415.0,959538.0,179487.0
862.5,-17.5,1.14,442.0,959538.0,203602.0
862.5,-17.0,1.16,471.0,959538.0,231195.0
862.5,-16.5,1.17,502.0,959538.0,262630.0
862.5,-16.0,1.18,534.0,959538.0,297180.0
862.5,-15.5,1.19,568.0,959538.0,336228.0
862.5,-15.0,1.2,603.0,959538.0,378941.0
862.5,-14.5,1.21,641.0,959538.0,428207.0
