frequency_mhz,level_dbm,efficiency,buffer_voltage_mv,resistance,pwr_pw
800.0,-20.0,0.18,132.0,972083.0,17924.0
800.0,-19.5,0.18,142.0,972083.0,20743.0
800.0,-19.0,0.2,155.0,972083.0,24714.0
800.0,-18.5,0.2,166.0,972083.0,28347.0
800.0,-18.0,0.21,179.0,972083.0,32961.0
800.0,-17.5,0.21,192.0,972083.0,37922.0
800.0,-17.0,0.23,209.0,972083.0,44935.0
800.0,-16.5,0.23,224.0,972083.0,51616.0
800.0,-16.0,0.23,239.0,972083.0,58761.0
800.0,-15.5,0.24,256.0,972083.0,67418.0
800.0,-15.0,0.25,278.0,972083.0,79503.0
800.0,-14.5,0.26,297.0,972083.0,90742.0
800.0,-14.0,0.26,319.0,972083.0,104683.0
800.0,-13.5,0.26,339.0,972083.0,118221.0
800.0,-13.0,0.27,363.0,972083.0,135553.0
800.0,-12.5,0.27,387.0,972083.0,154070.0
800.0,-12.0,0.28,413.0,972083.0,175467.0
800.0,-11.5,0.28,440.0,972083.0,199159.0
800.0,-11.0,0.29,472.0,972083.0,229182.0
800.0,-10.5,0.29,503.0,972083.0,260275.0
800.0,-10.0,0.29,535.0,972083.0,294445.0
800.0,-9.5,0.3,569.0,972083.0,333059.0
800.0,-9.0,0.3,605.0,972083.0,376536.0
800.0,-8.5,0.3,643.0,972083.0,425322.0
800.0,-8.0,0.3,684.0,972083.0,481292.0
800.0,-7.5,0.31,729.0,972083.0,546703.0
800.0,-7.0,0.31,774.0,972083.0,616280.0
800.0,-6.5,0.31,821.0,972083.0,693398.0
800.0,-6.0,0.31,872.0,972083.0,782221.0
800.0,-5.5,0.31,925.0,972083.0,880197.0
800.0,-5.0,0.31,982.0,972083.0,992018.0
800.0,-4.5,0.31,1041.0,972083.0,1114802.0
800.0,-4.0,0.31,1104.0,972083.0,1253818.0
800.0,-3.5,0.32,1171.0,972083.0,1410621.0
800.0,-3.0,0.32,1250.0,972083.0,1607373.0
800.0,-2.5,0.32,1326.0,972083.0,1808771.0
800.0,-2.0,0.32,1405.0,972083.0,2030716.0
800.0,-1.5,0.32,1488.0,972083.0,2277731.0
800.0,-1.0,0.32,1575.0,972083.0,2551865.0
800.0,-0.5,0.32,1668.0,972083.0,2862125.0
800.0,0.0,0.32,1771.0,972083.0,3226515.0
812.5,-20.0,0.25,156.0,972083.0,25034.0
812.5,-19.5,0.26,168.0,972083.0,29034.0
812.5,-19.0,0.27,181.0,972083.0,33701.0
812.5,-18.5,0.27,194.0,972083.0,38716.0
812.5,-18.0,0.28,209.0,972083.0,44935.0
812.5,-17.5,0.29,225.0,972083.0,52078.0
812.5,-17.0,0.3,242.0,972083.0,60245.0
812.5,-16.5,0.31,259.0,972083.0,69007.0
812.5,-16.0,0.32,279.0,972083.0,80076.0
812.5,-15.5,0.32,297.0,972083.0,90742.0
812.5,-15.0,0.33,320.0,972083.0,105340.0
812.5,-14.5,0.34,340.0,972083.0,118919.0
812.5,-14.0,0.34,363.0,972083.0,135553.0
812.5,-13.5,0.34,387.0,972083.0,154070.0
812.5,-13.0,0.35,415.0,972083.0,177171.0
812.5,-12.5,0.36,441.0,972083.0,200066.0
812.5,-12.0,0.36,470.0,972083.0,227243.0
812.5,-11.5,0.36,499.0,972083.0,256151.0
812.5,-11.0,0.37,534.0,972083.0,293345.0
812.5,-10.5,0.37,568.0,972083.0,331889.0
812.5,-10.0,0.37,603.0,972083.0,374051.0
812.5,-9.5,0.38,640.0,972083.0,421363.0
812.5,-9.0,0.38,680.0,972083.0,475679.0
812.5,-8.5,0.38,723.0,972083.0,537741.0
812.5,-8.0,0.38,767.0,972083.0,605183.0
812.5,-7.5,0.38,815.0,972083.0,683300.0
812.5,-7.0,0.39,868.0,972083.0,775061.0
812.5,-6.5,0.39,920.0,972083.0,870707.0
812.5,-6.0,0.39,974.0,972083.0,975920.0
812.5,-5.5,0.39,1033.0,972083.0,1097734.0
812.5,-5.0,0.39,1096.0,972083.0,1235713.0
812.5,-4.5,0.39,1161.0,972083.0,1386631.0
812.5,-4.0,0.39,1230.0,972083.0,1556348.0
812.5,-3.5,0.39,1304.0,972083.0,1749249.0
812.5,-3.0,0.4,1399.0,972083.0,2013409.0
812.5,-2.5,0.4,1483.0,972083.0,2262449.0
812.5,-2.0,0.4,1569.0,972083.0,2532459.0
812.5,-1.5,0.4,1661.0,972083.0,2838153.0
812.5,-1.0,0.4,1758.0,972083.0,3179321.0
812.5,-0.5,3.05,1796.0,118572.0,27203859.0
812.5,0.0,8.47,1798.0,38170.0,84694891.0
825.0,-20.0,0.37,190.0,972083.0,37136.0
825.0,-19.5,0.38,204.0,972083.0,42811.0
825.0,-19.0,0.39,219.0,972083.0,49338.0
825.0,-18.5,0.4,235.0,972083.0,56810.0
825.0,-18.0,0.41,252.0,972083.0,65327.0
825.0,-17.5,0.42,270.0,972083.0,74993.0
825.0,-17.0,0.43,289.0,972083.0,85919.0
825.0,-16.5,0.44,311.0,972083.0,99498.0
825.0,-16.0,0.45,331.0,972083.0,112707.0
825.0,-15.5,0.46,354.0,972083.0,128914.0
825.0,-15.0,0.46,376.0,972083.0,145436.0
825.0,-14.5,0.47,401.0,972083.0,165419.0
825.0,-14.0,0.47,427.0,972083.0,187565.0
825.0,-13.5,0.48,455.0,972083.0,212970.0
825.0,-13.0,0.48,484.0,972083.0,240983.0
825.0,-12.5,0.49,515.0,972083.0,272841.0
825.0,-12.0,0.49,548.0,972083.0,308928.0
825.0,-11.5,0.49,583.0,972083.0,349650.0
825.0,-11.0,0.49,618.0,972083.0,392892.0
825.0,-10.5,0.49,654.0,972083.0,439999.0
825.0,-10.0,0.5,694.0,972083.0,495467.0
825.0,-9.5,0.5,737.0,972083.0,558768.0
825.0,-9.0,0.5,782.0,972083.0,629086.0
825.0,-8.5,0.5,831.0,972083.0,710393.0
825.0,-8.0,0.5,880.0,972083.0,796639.0
825.0,-7.5,0.51,937.0,972083.0,903183.0
825.0,-7.0,0.51,993.0,972083.0,1014367.0
825.0,-6.5,0.51,1052.0,972083.0,1138487.0
825.0,-6.0,0.51,1113.0,972083.0,1274344.0
825.0,-5.5,0.51,1181.0,972083.0,1434816.0
825.0,-5.0,0.51,1251.0,972083.0,1609945.0
825.0,-4.5,0.51,1323.0,972083.0,1800596.0
825.0,-4.0,0.51,1401.0,972083.0,2019170.0
825.0,-3.5,0.51,1483.0,972083.0,2262449.0
825.0,-3.0,0.51,1584.0,972083.0,2581112.0
825.0,-2.5,0.51,1676.0,972083.0,2889646.0
825.0,-2.0,0.51,1773.0,972083.0,3233807.0
825.0,-1.5,4.43,1793.0,102399.0,31395316.0
825.0,-1.0,10.11,1798.0,40256.0,80306140.0
825.0,-0.5,15.94,1791.0,22575.0,142089966.0
825.0,0.0,20.41,1789.0,15679.0,204127878.0
837.5,-20.0,0.55,232.0,972083.0,55369.0
837.5,-19.5,0.56,247.0,972083.0,62761.0
837.5,-19.0,0.58,266.0,972083.0,72788.0
837.5,-18.5,0.59,285.0,972083.0,83557.0
837.5,-18.0,0.6,304.0,972083.0,95070.0
837.5,-17.5,0.61,326.0,972083.0,109328.0
837.5,-17.0,0.62,348.0,972083.0,124581.0
837.5,-16.5,0.63,370.0,972083.0,140831.0
837.5,-16.0,0.64,396.0,972083.0,161319.0
837.5,-15.5,0.65,422.0,972083.0,183198.0
837.5,-15.0,0.65,446.0,972083.0,204628.0
837.5,-14.5,0.66,476.0,972083.0,233082.0
837.5,-14.0,0.66,506.0,972083.0,263389.0
