frequency_mhz,level_dbm,efficiency,buffer_voltage_mv,resistance,pwr_pw
800.0,-20.0,1.03,317.0,972083.0,103374.0
800.0,-19.5,0.93,318.0,972083.0,104028.0
800.0,-19.0,0.14,131.0,972083.0,17653.0
800.0,-18.5,0.12,131.0,972083.0,17653.0
800.0,-18.0,0.11,131.0,972083.0,17653.0
800.0,-17.5,0.1,131.0,972083.0,17653.0
800.0,-17.0,0.09,132.0,972083.0,17924.0
800.0,-16.5,0.08,131.0,972083.0,17653.0
800.0,-16.0,0.07,131.0,972083.0,17653.0
800.0,-15.5,0.06,132.0,972083.0,17924.0
800.0,-15.0,0.06,132.0,972083.0,17924.0
800.0,-14.5,0.05,131.0,972083.0,17653.0
800.0,-14.0,0.04,131.0,972083.0,17653.0
800.0,-13.5,0.04,132.0,972083.0,17924.0
800.0,-13.0,0.04,131.0,972083.0,17653.0
800.0,-12.5,0.03,131.0,972083.0,17653.0
800.0,-12.0,0.03,131.0,972083.0,17653.0
800.0,-11.5,0.03,132.0,972083.0,17924.0
800.0,-11.0,0.02,132.0,972083.0,17924.0
800.0,-10.5,0.02,131.0,972083.0,17653.0
800.0,-10.0,0.02,131.0,972083.0,17653.0
800.0,-9.5,0.02,131.0,972083.0,17653.0
800.0,-9.0,0.01,132.0,972083.0,17924.0
800.0,-8.5,0.01,131.0,972083.0,17653.0
800.0,-8.0,0.01,131.0,972083.0,17653.0
800.0,-7.5,0.01,132.0,972083.0,17924.0
800.0,-7.0,0.01,131.0,972083.0,17653.0
800.0,-6.5,0.01,131.0,972083.0,17653.0
800.0,-6.0,0.01,131.0,972083.0,17653.0
800.0,-5.5,0.01,132.0,972083.0,17924.0
800.0,-5.0,0.01,131.0,972083.0,17653.0
800.0,-4.5,0.0,131.0,972083.0,17653.0
800.0,-4.0,0.01,140.0,972083.0,20162.0
800.0,-3.5,0.0,143.0,972083.0,21036.0
800.0,-3.0,0.0,142.0,972083.0,20743.0
800.0,-2.5,0.0,142.0,972083.0,20743.0
800.0,-2.0,0.0,142.0,972083.0,20743.0
800.0,-1.5,0.0,143.0,972083.0,21036.0
800.0,-1.0,0.0,142.0,972083.0,20743.0
800.0,-0.5,0.0,142.0,972083.0,20743.0
800.0,0.0,0.0,142.0,972083.0,20743.0
812.0,-20.0,0.21,142.0,972083.0,20743.0
812.0,-19.5,0.19,143.0,972083.0,21036.0
812.0,-19.0,0.16,142.0,972083.0,20743.0
812.0,-18.5,0.15,142.0,972083.0,20743.0
812.0,-18.0,0.13,143.0,972083.0,21036.0
812.0,-17.5,0.12,142.0,972083.0,20743.0
812.0,-17.0,0.1,142.0,972083.0,20743.0
812.0,-16.5,0.09,142.0,972083.0,20743.0
812.0,-16.0,0.08,142.0,972083.0,20743.0
812.0,-15.5,0.07,142.0,972083.0,20743.0
812.0,-15.0,0.07,142.0,972083.0,20743.0
812.0,-14.5,0.06,143.0,972083.0,21036.0
812.0,-14.0,0.05,143.0,972083.0,21036.0
812.0,-13.5,0.05,142.0,972083.0,20743.0
812.0,-13.0,0.04,142.0,972083.0,20743.0
812.0,-12.5,0.04,142.0,972083.0,20743.0
812.0,-12.0,0.03,142.0,972083.0,20743.0
812.0,-11.5,0.03,154.0,972083.0,24397.0
812.0,-11.0,0.03,153.0,972083.0,24081.0
812.0,-10.5,0.03,153.0,972083.0,24081.0
812.0,-10.0,0.02,153.0,972083.0,24081.0
812.0,-9.5,0.02,154.0,972083.0,24397.0
812.0,-9.0,0.02,154.0,972083.0,24397.0
812.0,-8.5,0.02,154.0,972083.0,24397.0
812.0,-8.0,0.02,153.0,972083.0,24081.0
812.0,-7.5,0.01,155.0,972083.0,24714.0
812.0,-7.0,0.01,154.0,972083.0,24397.0
812.0,-6.5,0.01,153.0,972083.0,24081.0
812.0,-6.0,0.01,153.0,972083.0,24081.0
812.0,-5.5,0.01,153.0,972083.0,24081.0
812.0,-5.0,0.01,155.0,972083.0,24714.0
812.0,-4.5,0.01,153.0,972083.0,24081.0
812.0,-4.0,0.01,154.0,972083.0,24397.0
812.0,-3.5,0.01,154.0,972083.0,24397.0
812.0,-3.0,0.0,154.0,972083.0,24397.0
812.0,-2.5,0.0,153.0,972083.0,24081.0
812.0,-2.0,0.0,154.0,972083.0,24397.0
812.0,-1.5,0.0,153.0,972083.0,24081.0
812.0,-1.0,0.0,153.0,972083.0,24081.0
812.0,-0.5,0.0,153.0,972083.0,24081.0
812.0,0.0,0.0,153.0,972083.0,24081.0
