frequency_mhz,level_dbm,buffer_voltage_mv,resistance,pwr_pw,efficiency
800.0,-20.0,582.0,1000000.0,338000,3.38
800.0,-19.5,708.0,1000000.0,501000,4.465
800.0,-19.0,840.0,1000000.0,705000,5.6
800.0,-18.5,978.0,1000000.0,956000,6.768
800.0,-18.0,1110.0,1000000.0,1232000,7.773
800.0,-17.5,1245.0,1000000.0,1537000,8.643
800.0,-17.0,1380.0,1000000.0,1904000,9.543
800.0,-16.5,1508.0,1000000.0,2277000,10.171
800.0,-16.0,1638.0,1000000.0,2696000,10.733
800.0,-15.5,1635.0,679687.0,3971000,14.09
800.0,-15.0,1631.0,500000.0,5320000,16.823
800.0,-14.5,1638.0,382812.0,7008000,19.751
800.0,-14.0,1618.0,300781.0,8703000,21.861
800.0,-13.5,1631.0,246093.0,10809000,24.198
800.0,-13.0,1631.0,203125.0,12840000,25.619
800.0,-12.5,1617.0,171875.0,15212000,27.051
800.0,-12.0,1619.0,144531.0,17979000,28.495
800.0,-11.5,1595.0,121093.0,21008000,29.675
800.0,-11.0,1593.0,109375.0,23201000,29.208
800.0,-10.5,1619.0,97656.0,26477000,29.708
800.0,-10.0,1622.0,85865.0,30677000,30.677
800.0,-9.5,1626.0,76536.0,33615000,29.959
800.0,-9.0,1605.0,68615.0,38532000,30.607
800.0,-8.5,1607.0,61532.0,43924000,31.096
800.0,-8.0,1603.0,55328.0,47492000,29.965
800.0,-7.5,1605.0,50039.0,53488000,30.079
800.0,-7.0,1603.0,45362.0,56646000,28.39
800.0,-6.5,1622.0,41317.0,62114000,27.745
800.0,-6.0,1608.0,37919.0,68273000,27.18
800.0,-5.5,1621.0,34497.0,74394000,26.396
800.0,-5.0,1623.0,31742.0,82985000,26.242
800.0,-4.5,1619.0,28972.0,87919000,24.779
800.0,-4.0,1607.0,26883.0,95943000,24.1
800.0,-3.5,1607.0,24786.0,104189000,23.325
800.0,-3.0,1628.0,22679.0,116865000,23.318
800.0,-2.5,1590.0,20917.0,120863000,21.493
800.0,-2.0,1628.0,19503.0,130606000,20.7
800.0,-1.5,1617.0,18439.0,141802000,20.03
800.0,-1.0,1580.0,16661.0,155772000,19.611
800.0,-0.5,1585.0,15592.0,164186000,18.422
800.0,0.0,1645.0,14877.0,175319000,17.532
812.0,-20.0,569.0,1000000.0,318000,3.18
812.0,-19.5,699.0,1000000.0,488000,4.349
812.0,-19.0,819.0,1000000.0,669000,5.314
812.0,-18.5,956.0,1000000.0,910000,6.442
812.0,-18.0,1094.0,1000000.0,1196000,7.546
812.0,-17.5,1227.0,1000000.0,1505000,8.463
812.0,-17.0,1353.0,1000000.0,1830000,9.172
812.0,-16.5,1485.0,1000000.0,2205000,9.849
812.0,-16.0,1616.0,1000000.0,2611000,10.395
812.0,-15.5,1638.0,726562.0,3692000,13.1
812.0,-15.0,1632.0,523437.0,5088000,16.09
812.0,-14.5,1643.0,394531.0,6842000,19.283
812.0,-14.0,1636.0,312500.0,8460000,21.251
812.0,-13.5,1637.0,253906.0,10554000,23.627
812.0,-13.0,1632.0,207031.0,12864000,25.667
812.0,-12.5,1608.0,171875.0,15043000,26.751
812.0,-12.0,1602.0,144531.0,17734000,28.106
812.0,-11.5,1587.0,125000.0,20148000,28.46
812.0,-11.0,1584.0,109375.0,22939000,28.878
812.0,-10.5,1599.0,97656.0,26181000,29.376
812.0,-10.0,1596.0,86173.0,30455000,30.455
812.0,-9.5,1605.0,77478.0,33248000,29.632
812.0,-9.0,1641.0,69254.0,37382000,29.694
812.0,-8.5,1610.0,62181.0,41738000,29.548
812.0,-8.0,1604.0,55656.0,46227000,29.167
812.0,-7.5,1625.0,50371.0,52423000,29.48
812.0,-7.0,1624.0,46033.0,57293000,28.715
812.0,-6.5,1624.0,41655.0,61919000,27.658
812.0,-6.0,1632.0,37919.0,70239000,27.963
812.0,-5.5,1626.0,34841.0,75884000,26.925
812.0,-5.0,1614.0,32088.0,81182000,25.672
812.0,-4.5,1607.0,29319.0,88081000,24.825
812.0,-4.0,1620.0,26883.0,95465000,23.98
812.0,-3.5,1624.0,24786.0,103542000,23.18
812.0,-3.0,1636.0,23032.0,112263000,22.399
812.0,-2.5,1621.0,21270.0,121563000,21.617
812.0,-2.0,1593.0,19503.0,130115000,20.622
812.0,-1.5,1590.0,18083.0,139805000,19.748
812.0,-1.0,1577.0,16661.0,149077000,18.768
812.0,-0.5,1611.0,15592.0,166452000,18.676
812.0,0.0,1611.0,14877.0,175971000,17.597
825.0,-20.0,543.0,1000000.0,294000,2.94
825.0,-19.5,653.0,1000000.0,423000,3.77
825.0,-19.0,776.0,1000000.0,597000,4.742
825.0,-18.5,909.0,1000000.0,826000,5.848
825.0,-18.0,1049.0,1000000.0,1094000,6.903
825.0,-17.5,1178.0,1000000.0,1404000,7.895
825.0,-17.0,1315.0,1000000.0,1731000,8.676
825.0,-16.5,1446.0,1000000.0,2090000,9.336
825.0,-16.0,1574.0,1000000.0,2477000,9.861
825.0,-15.5,1641.0,812500.0,3334000,11.829
825.0,-15.0,1637.0,562500.0,4816000,15.23
825.0,-14.5,1631.0,417968.0,6364000,17.936
825.0,-14.0,1642.0,328125.0,8067000,20.263
825.0,-13.5,1620.0,261718.0,10027000,22.448
825.0,-13.0,1638.0,214843.0,12170000,24.282
825.0,-12.5,1630.0,179687.0,14443000,25.684
825.0,-12.0,1621.0,148437.0,17010000,26.959
825.0,-11.5,1593.0,128906.0,19686000,27.807
825.0,-11.0,1619.0,113281.0,23138000,29.129
825.0,-10.5,1623.0,97656.0,26973000,30.264
825.0,-10.0,1618.0,86173.0,30379000,30.379
825.0,-9.5,1631.0,78418.0,33922000,30.233
825.0,-9.0,1610.0,70211.0,36918000,29.325
825.0,-8.5,1635.0,62828.0,41257000,29.208
825.0,-8.0,1607.0,56313.0,45858000,28.934
825.0,-7.5,1638.0,50703.0,52916000,29.757
825.0,-7.0,1601.0,46033.0,57081000,28.608
825.0,-6.5,1606.0,41993.0,61420000,27.435
825.0,-6.0,1640.0,38259.0,67163000,26.738
825.0,-5.5,1609.0,35183.0,76819000,27.256
825.0,-5.0,1605.0,32088.0,81787000,25.863
825.0,-4.5,1629.0,29666.0,87702000,24.718
825.0,-4.0,1610.0,27232.0,95185000,23.909
825.0,-3.5,1616.0,25136.0,106090000,23.751
